id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
32,encoder.layers.encoder_layer_2.self_attention.out_proj.weight,Weight,8,589824,2788127,446281,3234408,42276414,8556688,14065807,1357625,5.483683268229167,13.07083521930443,4.348804170655032,2.645519056346633,71.6763203938802
33,encoder.layers.encoder_layer_2.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,71742,1152,14569,9984,12.001302083333334,7.783660627102094,1.5806661603558643,0.12498643810350439,93.4140625
34,encoder.layers.encoder_layer_2.ln_2.weight,Weight,12,768,0,9217,9217,71577,1152,14514,9984,12.001302083333334,7.765758923727894,1.5746989258977975,0.12498643810350439,93.19921875
35,encoder.layers.encoder_layer_2.ln_2.bias,Bias,12,768,0,9217,9217,71906,1153,14624,9984,12.001302083333334,7.801453835304329,1.5866333948139308,0.12509493327546925,93.62760416666667
36,encoder.layers.encoder_layer_2.mlp.0.weight,Weight,8,2359296,11689677,4015893,15705570,189121464,35155385,60623749,7224399,6.656888326009114,12.041681008712196,3.8600158415135524,2.2384023629833236,80.16012573242188
37,encoder.layers.encoder_layer_2.mlp.0.bias,Bias,12,3072,0,36866,36866,300092,4609,62653,39936,12.000651041666666,8.140074865729941,1.6994791949221504,0.12502034394835349,97.68619791666667
38,encoder.layers.encoder_layer_2.mlp.3.weight,Weight,8,2359296,10314635,913584,11228219,153237889,32159951,51902411,4386283,4.759139590793186,13.64756859480564,4.622497209931513,2.8642076717598757,64.95068401760525
39,encoder.layers.encoder_layer_2.mlp.3.bias,Bias,12,768,0,9217,9217,73737,1152,15234,9984,12.001302083333334,8.000108495171965,1.6528154497124878,0.12498643810350439,96.01171875
40,encoder.layers.encoder_layer_3.ln_1.weight,Weight,12,768,0,9217,9217,71769,1152,14578,9984,12.001302083333334,7.786589996745144,1.5816426169035478,0.12498643810350439,93.44921875
41,encoder.layers.encoder_layer_3.ln_1.bias,Bias,12,768,0,9217,9217,71951,1153,14639,9984,12.001302083333334,7.806336118042747,1.5882608223934036,0.12509493327546925,93.68619791666667
42,encoder.layers.encoder_layer_3.self_attention.in_proj_weight,Weight,8,1769472,8916377,3093242,12009619,143564898,26666410,45787021,5448714,6.787120112666377,11.954159245185046,3.812529023610158,2.2204209808820745,81.13431464301215
43,encoder.layers.encoder_layer_3.self_attention.in_proj_bias,Bias,12,2304,1721,26277,27998,228779,7691,49670,28413,12.151909722222221,8.171262233016645,1.7740552896635473,0.274698192728052,99.29644097222223
44,encoder.layers.encoder_layer_3.self_attention.out_proj.weight,Weight,8,589824,2808405,481474,3289879,42691778,8591828,14146170,1384663,5.577729966905382,12.976701574738767,4.29990586279921,2.611593921843326,72.38053724500868
45,encoder.layers.encoder_layer_3.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
46,encoder.layers.encoder_layer_3.ln_2.weight,Weight,12,768,0,9217,9217,16520,1153,3458,1536,12.001302083333334,1.7923402408592817,0.3751763046544429,0.12509493327546925,21.510416666666668
47,encoder.layers.encoder_layer_3.ln_2.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
48,encoder.layers.encoder_layer_3.mlp.0.weight,Weight,8,2359296,11971660,4189715,16161375,192968659,35641362,61265643,7320459,6.850083669026692,11.940113944512765,3.790868227486832,2.2053421815903658,81.79077953762479
49,encoder.layers.encoder_layer_3.mlp.0.bias,Bias,12,3072,0,36866,36866,299346,4608,62404,39936,12.000651041666666,8.11983941843433,1.6927250040687896,0.12499321868388216,97.443359375
50,encoder.layers.encoder_layer_3.mlp.3.weight,Weight,8,2359296,10919502,1055077,11974579,161907359,33805145,54699150,4839874,5.0754881964789496,13.520922865012624,4.567939298742778,2.823075867635931,68.62528440687392
51,encoder.layers.encoder_layer_3.mlp.3.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
52,encoder.layers.encoder_layer_4.ln_1.weight,Weight,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
53,encoder.layers.encoder_layer_4.ln_1.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
54,encoder.layers.encoder_layer_4.self_attention.in_proj_weight,Weight,8,1769472,8886649,3252826,12139475,143930904,26545947,45736418,5503595,6.860506976092303,11.856435636631732,3.7675779224389854,2.186745884809681,81.34115939670139
55,encoder.layers.encoder_layer_4.self_attention.in_proj_bias,Bias,12,2304,1764,26526,28290,230589,7768,49977,28628,12.278645833333334,8.150901378579004,1.7665959703075291,0.27458465889006717,100.08203125
56,encoder.layers.encoder_layer_4.self_attention.out_proj.weight,Weight,8,589824,2861994,577394,3439388,43899816,8701191,14420695,1466778,5.831210666232639,12.763845195715051,4.1928084298718264,2.5298660691960313,74.42867024739583
57,encoder.layers.encoder_layer_4.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,71954,1153,14640,9984,12.001302083333334,7.806661603558641,1.5883693175653684,0.12509493327546925,93.69010416666667
58,encoder.layers.encoder_layer_4.ln_2.weight,Weight,12,768,0,9217,9217,72684,1152,14883,9984,12.001302083333334,7.885863079092981,1.6147336443528264,0.12498643810350439,94.640625
59,encoder.layers.encoder_layer_4.ln_2.bias,Bias,12,768,0,9217,9217,72972,1152,14979,9984,12.001302083333334,7.917109688618856,1.6251491808614518,0.12498643810350439,95.015625
60,encoder.layers.encoder_layer_4.mlp.0.weight,Weight,8,2359296,12056200,4201056,16257256,193841733,35805716,61385030,7321913,6.890723334418403,11.923397958425456,3.7758543016115387,2.2024452343003027,82.16083653767903
61,encoder.layers.encoder_layer_4.mlp.0.bias,Bias,12,3072,0,36866,36866,298491,4608,62119,39936,12.000651041666666,8.096647317311344,1.684994303694461,0.12499321868388216,97.1650390625
62,encoder.layers.encoder_layer_4.mlp.3.weight,Weight,8,2359296,11308991,1257946,12566937,167920843,34801162,56460661,5189125,5.326562245686849,13.362113854792142,4.4927941470542905,2.7692636638506265,71.17413118150499
63,encoder.layers.encoder_layer_4.mlp.3.bias,Bias,12,768,0,9217,9217,73218,1152,15061,9984,12.001302083333334,7.943799500922209,1.6340457849625691,0.12498643810350439,95.3359375
64,encoder.layers.encoder_layer_5.ln_1.weight,Weight,12,768,0,9217,9217,71826,1152,14597,9984,12.001302083333334,7.792774221547141,1.5837040251708798,0.12498643810350439,93.5234375
65,encoder.layers.encoder_layer_5.ln_1.bias,Bias,12,768,0,9217,9217,72429,1152,14798,9984,12.001302083333334,7.858196810241944,1.6055115547358143,0.12498643810350439,94.30859375
66,encoder.layers.encoder_layer_5.self_attention.in_proj_weight,Weight,8,1769472,8941884,3344160,12286044,145003646,26635178,45917217,5557499,6.943339029947917,11.80230560789136,3.737347595369185,2.167921423690164,81.94740917064526
67,encoder.layers.encoder_layer_5.self_attention.in_proj_bias,Bias,12,2304,1764,26516,28280,231120,7790,50204,28639,12.274305555555555,8.172560113154173,1.7752475247524753,0.27545968882602545,100.3125
68,encoder.layers.encoder_layer_5.self_attention.out_proj.weight,Weight,8,589824,2930610,649802,3580412,45136507,8857460,14732188,1544924,6.070305718315972,12.606512043865344,4.114662781825109,2.47386613607596,76.52538214789496
69,encoder.layers.encoder_layer_5.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,72099,1152,14688,9984,12.001302083333334,7.822393403493544,1.593577085819681,0.12498643810350439,93.87890625
70,encoder.layers.encoder_layer_5.ln_2.weight,Weight,12,768,2298,4,2302,33901,7575,11665,512,2.9973958333333335,14.726759339704605,5.067332754126846,3.290616854908775,44.141927083333336
71,encoder.layers.encoder_layer_5.ln_2.bias,Bias,12,768,0,9217,9217,72831,1152,14932,9984,12.001302083333334,7.901811869371813,1.6200499077791037,0.12498643810350439,94.83203125
72,encoder.layers.encoder_layer_5.mlp.0.weight,Weight,8,2359296,12101793,4373037,16474830,195269959,35836904,61592749,7418100,6.982943216959636,11.852623608255746,3.7385969384813076,2.175251823539302,82.7661976284451
73,encoder.layers.encoder_layer_5.mlp.0.bias,Bias,12,3072,0,36866,36866,299444,4609,62437,39936,12.000651041666666,8.12249769435252,1.6936201377963436,0.12502034394835349,97.47526041666667
74,encoder.layers.encoder_layer_5.mlp.3.weight,Weight,8,2359296,11638870,1609315,13248185,173871570,35543675,57938972,5558833,5.615312788221571,13.124180406599093,4.3733516704363655,2.6829090173484142,73.69637807210286
75,encoder.layers.encoder_layer_5.mlp.3.bias,Bias,12,768,0,9217,9217,72819,1152,14928,9984,12.001302083333334,7.900509927308235,1.6196159270912445,0.12498643810350439,94.81640625
76,encoder.layers.encoder_layer_6.ln_1.weight,Weight,12,768,0,9217,9217,71568,1152,14511,9984,12.001302083333334,7.76478246718021,1.574373440381903,0.12498643810350439,93.1875
77,encoder.layers.encoder_layer_6.ln_1.bias,Bias,12,768,0,9217,9217,72293,1153,14753,9984,12.001302083333334,7.843441466854725,1.600629271997396,0.12509493327546925,94.13151041666667
78,encoder.layers.encoder_layer_6.self_attention.in_proj_weight,Weight,8,1769472,8966230,3415153,12381383,145772745,26664317,46063098,5616235,6.997218944408275,11.77354298788754,3.720351595617388,2.1535814698568005,82.38205803765192
79,encoder.layers.encoder_layer_6.self_attention.in_proj_bias,Bias,12,2304,1751,26515,28266,231076,7768,50213,28641,12.268229166666666,8.175051298379678,1.7764451991792258,0.2748178023066582,100.29340277777777
80,encoder.layers.encoder_layer_6.self_attention.out_proj.weight,Weight,8,589824,2988369,791942,3780311,46642424,8960934,15048394,1657467,6.40921868218316,12.338250477275547,3.9807290987434634,2.3704224334981965,79.07854546440973
81,encoder.layers.encoder_layer_6.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,72309,1152,14758,9984,12.001302083333334,7.845177389606163,1.6011717478572203,0.12498643810350439,94.15234375
82,encoder.layers.encoder_layer_6.ln_2.weight,Weight,12,768,2397,4,2401,35210,7846,12099,545,3.1263020833333335,14.66472303206997,5.039150354019159,3.26780508121616,45.846354166666664
83,encoder.layers.encoder_layer_6.ln_2.bias,Bias,12,768,0,9217,9217,73476,1152,15147,9984,12.001302083333334,7.97179125528914,1.643376369751546,0.12498643810350439,95.671875
84,encoder.layers.encoder_layer_6.mlp.0.weight,Weight,8,2359296,12103717,4506176,16609893,196107352,35812368,61690912,7509521,7.04019037882487,11.806659561262677,3.7141065267548683,2.156086616572425,83.12113104926215
85,encoder.layers.encoder_layer_6.mlp.0.bias,Bias,12,3072,0,36866,36866,299958,4608,62608,39936,12.000651041666666,8.136440080290782,1.6982585580209406,0.12499321868388216,97.642578125
86,encoder.layers.encoder_layer_6.mlp.3.weight,Weight,8,2359296,11934012,2270601,14204613,181002547,36043543,59342844,6052521,6.020699818929036,12.742518715575004,4.1777163517232045,2.537453361101777,76.71888012356229
87,encoder.layers.encoder_layer_6.mlp.3.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
88,encoder.layers.encoder_layer_7.ln_1.weight,Weight,12,768,0,9217,9217,16520,1153,3458,1536,12.001302083333334,1.7923402408592817,0.3751763046544429,0.12509493327546925,21.510416666666668
89,encoder.layers.encoder_layer_7.ln_1.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
90,encoder.layers.encoder_layer_7.self_attention.in_proj_weight,Weight,8,1769472,9034160,3607377,12641537,147170490,26731802,46180921,5672342,7.144242463288484,11.641819345226772,3.653109665383252,2.1146006217440174,83.17198011610243
91,encoder.layers.encoder_layer_7.self_attention.in_proj_bias,Bias,12,2304,0,27650,27650,219450,3456,45116,29952,12.000868055555555,7.936708860759493,1.6316817359855333,0.12499095840867992,95.24739583333333
92,encoder.layers.encoder_layer_7.self_attention.out_proj.weight,Weight,8,589824,3020237,885280,3905517,47495539,8995176,15176044,1712465,6.6214955647786455,12.16113999759827,3.8857964259277327,2.303197246356884,80.52493455674913
93,encoder.layers.encoder_layer_7.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
94,encoder.layers.encoder_layer_7.ln_2.weight,Weight,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
95,encoder.layers.encoder_layer_7.ln_2.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
96,encoder.layers.encoder_layer_7.mlp.0.weight,Weight,8,2359296,12101770,4795194,16896964,197864165,35747687,62016184,7711521,7.161866929796007,11.710042407618316,3.6702560294263513,2.115627813375231,83.86576546563043
97,encoder.layers.encoder_layer_7.mlp.0.bias,Bias,12,3072,0,36866,36866,299625,4608,62497,39936,12.000651041666666,8.12740736722183,1.6952476536646233,0.12499321868388216,97.5341796875
98,encoder.layers.encoder_layer_7.mlp.3.weight,Weight,8,2359296,12059276,3205538,15264814,187782447,36034079,60382161,6641662,6.470071580674913,12.301653135111899,3.9556434162905623,2.36059731877506,79.59257634480794
99,encoder.layers.encoder_layer_7.mlp.3.bias,Bias,12,768,0,9217,9217,72849,1152,14938,9984,12.001302083333334,7.903764782467181,1.620700878810893,0.12498643810350439,94.85546875
100,encoder.layers.encoder_layer_8.ln_1.weight,Weight,12,768,0,9217,9217,71564,1153,14510,9984,12.001302083333334,7.764348486492351,1.5742649452099382,0.12509493327546925,93.18229166666667
101,encoder.layers.encoder_layer_8.ln_1.bias,Bias,12,768,0,9217,9217,72354,1152,14773,9984,12.001302083333334,7.850059672344581,1.602799175436693,0.12498643810350439,94.2109375
102,encoder.layers.encoder_layer_8.self_attention.in_proj_weight,Weight,8,1769472,9036755,3760197,12796952,148050821,26687957,46286350,5758973,7.2320737485532405,11.569225312402516,3.6169823876810665,2.085493248704848,83.6694906729239
103,encoder.layers.encoder_layer_8.self_attention.in_proj_bias,Bias,12,2304,0,27650,27650,219416,3457,45105,29952,12.000868055555555,7.935479204339964,1.6312839059674502,0.12502712477396022,95.23263888888889
104,encoder.layers.encoder_layer_8.self_attention.out_proj.weight,Weight,8,589824,3022067,944773,3966840,47856660,8979483,15221107,1748055,6.7254638671875,12.06417702755846,3.837086194552843,2.263636294884593,81.13718668619792
105,encoder.layers.encoder_layer_8.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,72672,1152,14879,9984,12.001302083333334,7.884561137029402,1.614299663664967,0.12498643810350439,94.625
106,encoder.layers.encoder_layer_8.ln_2.weight,Weight,12,768,0,9217,9217,73440,1152,15135,9984,12.001302083333334,7.967885429098405,1.642074427687968,0.12498643810350439,95.625
107,encoder.layers.encoder_layer_8.ln_2.bias,Bias,12,768,0,9217,9217,72801,1152,14922,9984,12.001302083333334,7.898557014212868,1.6189649560594555,0.12498643810350439,94.79296875
108,encoder.layers.encoder_layer_8.mlp.0.weight,Weight,8,2359296,12105433,5105436,17210869,199813958,35687954,62374711,7925246,7.294917212592231,11.609754161745116,3.6241465204342673,2.073570718596487,84.69219546847873
109,encoder.layers.encoder_layer_8.mlp.0.bias,Bias,12,3072,0,36866,36866,298290,4608,62052,39936,12.000651041666666,8.091195139152607,1.683176910974882,0.12499321868388216,97.099609375
110,encoder.layers.encoder_layer_8.mlp.3.weight,Weight,8,2359296,12085099,4228781,16313880,194320431,35862795,61510980,7345508,6.914723714192708,11.911355912879094,3.770469072961184,2.198299546153337,82.36373519897461
111,encoder.layers.encoder_layer_8.mlp.3.bias,Bias,12,768,0,9217,9217,72783,1152,14916,9984,12.001302083333334,7.8966041011175,1.6183139850276662,0.12498643810350439,94.76953125
112,encoder.layers.encoder_layer_9.ln_1.weight,Weight,12,768,0,9217,9217,71424,1152,14463,9984,12.001302083333334,7.749159162417272,1.5691656721275904,0.12498643810350439,93.0
113,encoder.layers.encoder_layer_9.ln_1.bias,Bias,12,768,0,9217,9217,72792,1152,14919,9984,12.001302083333334,7.897580557665184,1.6186394705435607,0.12498643810350439,94.78125
114,encoder.layers.encoder_layer_9.self_attention.in_proj_weight,Weight,8,1769472,9040882,3810672,12851554,148646271,26686716,46437679,5829190,7.262931541160301,11.56640442081946,3.613390178339522,2.0765361138427307,84.00600348578558
115,encoder.layers.encoder_layer_9.self_attention.in_proj_bias,Bias,12,2304,1748,26395,28143,230796,7733,50124,28509,12.21484375,8.200831467860569,1.781046796716768,0.2747752549479444,100.171875
116,encoder.layers.encoder_layer_9.self_attention.out_proj.weight,Weight,8,589824,3027081,927644,3954725,47805756,8994175,15215949,1736365,6.704923841688368,12.088263027138423,3.84753655437483,2.274285822655178,81.05088297526042
117,encoder.layers.encoder_layer_9.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,72663,1152,14876,9984,12.001302083333334,7.883584680481719,1.6139741781490724,0.12498643810350439,94.61328125
118,encoder.layers.encoder_layer_9.ln_2.weight,Weight,12,768,0,9217,9217,74055,1152,15340,9984,12.001302083333334,8.034609959856786,1.6643159379407617,0.12498643810350439,96.42578125
119,encoder.layers.encoder_layer_9.ln_2.bias,Bias,12,768,0,9217,9217,73221,1152,15062,9984,12.001302083333334,7.944124986438103,1.6341542801345341,0.12498643810350439,95.33984375
120,encoder.layers.encoder_layer_9.mlp.0.weight,Weight,8,2359296,12098485,4828273,16926758,198017445,35720707,62018063,7721665,7.174495273166233,11.698486207459219,3.6639067563912713,2.1103100192015507,83.93073399861653
121,encoder.layers.encoder_layer_9.mlp.0.bias,Bias,12,3072,0,36866,36866,296478,4608,61448,39936,12.000651041666666,8.04204415993056,1.6667932512341996,0.12499321868388216,96.509765625
122,encoder.layers.encoder_layer_9.mlp.3.weight,Weight,8,2359296,12067539,3306548,15374087,188571909,36056537,60590147,6736983,6.516387515597874,12.265567965109083,3.941056597377132,2.345279885563286,79.92719395955403
123,encoder.layers.encoder_layer_9.mlp.3.bias,Bias,12,768,0,9217,9217,73116,1152,15027,9984,12.001302083333334,7.932732993381794,1.6303569491157643,0.12498643810350439,95.203125
124,encoder.layers.encoder_layer_10.ln_1.weight,Weight,12,768,0,9217,9217,71277,1152,14414,9984,12.001302083333334,7.73321037213844,1.5638494087013128,0.12498643810350439,92.80859375
125,encoder.layers.encoder_layer_10.ln_1.bias,Bias,12,768,0,9217,9217,73176,1152,15047,9984,12.001302083333334,7.939242703699685,1.6325268525550614,0.12498643810350439,95.28125
126,encoder.layers.encoder_layer_10.self_attention.in_proj_weight,Weight,8,1769472,9061499,3815978,12877477,148964080,26728271,46510460,5842888,7.277581674081308,11.56780012109515,3.6117680505272887,2.075582895624663,84.1856101707176
127,encoder.layers.encoder_layer_10.self_attention.in_proj_bias,Bias,12,2304,0,27650,27650,49548,3456,10370,4608,12.000868055555555,1.7919710669077757,0.37504520795660035,0.12499095840867992,21.505208333333332
128,encoder.layers.encoder_layer_10.self_attention.out_proj.weight,Weight,8,589824,3027863,975800,4003663,48093421,8981462,15255483,1766669,6.787894354926215,12.012354935967387,3.8103813932391413,2.2433111877797907,81.53859625922308
129,encoder.layers.encoder_layer_10.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,72708,1152,14891,9984,12.001302083333334,7.888466963220137,1.6156016057285452,0.12498643810350439,94.671875
130,encoder.layers.encoder_layer_10.ln_2.weight,Weight,12,768,0,9217,9217,73782,1152,15249,9984,12.001302083333334,8.004990777910383,1.6544428772919606,0.12498643810350439,96.0703125
131,encoder.layers.encoder_layer_10.ln_2.bias,Bias,12,768,0,9217,9217,72942,1152,14969,9984,12.001302083333334,7.9138548334599115,1.6240642291418033,0.12498643810350439,94.9765625
132,encoder.layers.encoder_layer_10.mlp.0.weight,Weight,8,2359296,12105018,4963833,17068851,198865494,35694127,62132834,7805128,7.234722137451172,11.65078387525909,3.640129848224699,2.0911851067186653,84.2901840209961
133,encoder.layers.encoder_layer_10.mlp.0.bias,Bias,12,3072,0,36866,36866,296052,4608,61306,39936,12.000651041666666,8.030488797265773,1.662941463679271,0.12499321868388216,96.37109375
134,encoder.layers.encoder_layer_10.mlp.3.weight,Weight,8,2359296,12100592,3566478,15667070,190265119,35995651,60705653,6850913,6.640569898817274,12.144269413489567,3.874729161227977,2.2975355953602046,80.64486991034613
135,encoder.layers.encoder_layer_10.mlp.3.bias,Bias,12,768,0,9217,9217,73073,1153,15013,9984,12.001302083333334,7.928067700987306,1.6288380167082566,0.12509493327546925,95.14713541666667
136,encoder.layers.encoder_layer_11.ln_1.weight,Weight,12,768,0,9217,9217,72642,1152,14869,9984,12.001302083333334,7.881306281870457,1.6132147119453184,0.12498643810350439,94.5859375
137,encoder.layers.encoder_layer_11.ln_1.bias,Bias,12,768,0,9217,9217,72933,1152,14966,9984,12.001302083333334,7.912878376912228,1.6237387436259088,0.12498643810350439,94.96484375
138,encoder.layers.encoder_layer_11.self_attention.in_proj_weight,Weight,8,1769472,9059701,3995349,13055050,149898073,26678489,46629902,5942978,7.377935338903357,11.48199914975431,3.571790379967905,2.043537864657738,84.71344728823061
